SL.NO,COUNTRY,TOTAL CASES,NEW CASES,TOTAL DEATHS,NEW DEATHS,TOTAL RECOVERED,NEW RECOVERED,ACTIVE CASES,CRITICAL CASES,CASES/MILLION,DEATHS/MILLION,TOTAL TESTS,TESTS/MILLION,POPULATION,CONTINENT
155,Curaçao,"5,238",0,22 ,0,"4,730",0,486,8,"31,829",134,"56,395","342,687","164,567 ",North America
156,CAR,"5,025",0,63 ,0,"4,920",0,42,2,"1,028",13,"37,104","7,590","4,888,745 ",Africa
157,Gambia,"5,019",0,153 ,0,"4,525",0,341,3,"2,037",62,"51,683","20,974","2,464,095 ",Africa
158,Niger,"4,870",0,183 ,0,"4,516",0,171,1,196,7,"84,900","3,421","24,816,171 ",Africa
159,Chad,"4,344",0,155 ,0,"3,818",0,371,0,259,9,0,0,"16,755,017 ",Africa
160,Mongolia,"4,340",+130,4 ,0,"3,131",+48,"1,205",11,"1,309",1,"2,061,669","621,848","3,315,392 ",Asia
161,Gibraltar,"4,270",0,94 ,0,"4,143",0,33,0,"126,766","2,791","200,713","5,958,704","33,684 ",Europe
162,San Marino,"4,204",0,77 ,0,"3,691",0,436,8,"123,716","2,266","48,205","1,418,587","33,981 ",Europe
163,Saint Lucia,"4,069",0,55 ,0,"3,848",0,166,3,"22,088",299,"33,985","184,481","184,220 ",North America
164,Channel Islands,"4,045",0,86 ,0,"3,965",0,-6,1,"23,115",491,"399,901","2,285,240","174,993 ",Europe
165,Sierra Leone,"3,939",0,79 ,0,"2,782",0,"1,078",0,487,10,"116,448","14,393","8,090,749 ",Africa
166,Comoros,"3,647",0,146 ,0,"3,453",0,48,0,"4,132",165,0,0,"882,586 ",Africa
167,Guinea-Bissau,"3,469",0,52 ,0,"2,776",0,641,14,"1,734",26,"55,536","27,760","2,000,567 ",Africa
168,Barbados,"3,458",0,39 ,0,"3,254",0,165,0,"12,023",136,"134,030","465,990","287,624 ",North America
169,Seychelles,"3,354",0,16 ,0,"2,940",0,398,0,"33,955",162,"5,200","52,644","98,777 ",Africa
170,Eritrea,"3,062",0,7 ,0,"2,731",0,324,0,855,2,"23,693","6,616","3,580,954 ",Africa
171,Yemen,"2,969",0,707 ,0,"1,507",0,755,23,98,23,"17,404",575,"30,286,262 ",Asia
172,Liechtenstein,"2,616",+1,56 ,0,"2,525",+2,35,0,"68,473","1,466","29,848","781,259","38,205 ",Europe
173,Vietnam,"2,567",+7,35 ,0,"2,198",+40,334,0,26,0.4,"2,598,753","26,530","97,956,157 ",Asia
174,Burundi,"2,461",0,3 ,0,773,0,"1,685",0,203,0.2,"90,019","7,416","12,137,955 ",Africa
175,New Zealand,"2,434",+2,26 ,0,"2,311",0,97,0,487,5,"1,830,299","365,906","5,002,100 ",Australia/Oceania
176,Papua New Guinea,"2,351",0,26 ,0,846,0,"1,479",0,259,3,"54,410","6,002","9,065,966 ",Australia/Oceania
177,Turks and Caicos,"2,250",0,15 ,0,"2,109",0,126,7,"57,565",384,"18,012","460,830","39,086 ",North America
178,Monaco,"2,135",0,27 ,0,"1,932",0,176,6,"54,136",685,"51,953","1,317,334","39,438 ",Europe
179,Sint Maarten,"2,088",0,27 ,0,"2,051",0,10,1,"48,312",625,"22,027","509,660","43,219 ",North America
180,Sao Tome and Principe,"2,085",0,32 ,0,"1,880",0,173,0,"9,391",144,"11,592","52,212","222,016 ",Africa
181,Liberia,"2,030",0,85 ,0,"1,899",0,46,2,395,17,"76,815","14,942","5,140,916 ",Africa
182,St. Vincent Grenadines,"1,681",0,9 ,0,"1,129",0,543,2,"15,118",81,"38,783","348,802","111,189 ",North America
183,Saint Martin,"1,602",0,12 ,0,"1,399",0,191,7,"40,942",307,"22,204","567,456","39,129 ",North America
184,Cambodia,"1,505",+75,1 ,0,840,+22,664,0,89,0.06,"555,192","32,887","16,881,755 ",Asia
185,Isle of Man,"1,351",0,26 ,0,430,0,895,12,"15,829",305,"38,147","446,943","85,351 ",Europe
186,Antigua and Barbuda,992,0,27 ,0,598,0,367,45,"10,071",274,"16,075","163,196","98,501 ",North America
187,Taiwan,990,0,10 ,0,956,+5,24,0,42,0.4,"459,223","19,257","23,847,267 ",Asia
188,Bhutan,868,0,1 ,0,866,0,1,0,"1,116",1,"568,159","730,663","777,594 ",Asia
189,Caribbean Netherlands,866,0,6 ,0,562,0,298,0,"32,809",227,"8,080","306,119","26,395 ",North America
190,Mauritius,758,0,10 ,0,592,0,156,0,595,8,"289,552","227,410","1,273,261 ",Africa
191,Bermuda,740,0,12 ,0,699,0,29,0,"11,913",193,"182,725","2,941,721","62,115 ",North America
192,Diamond Princess,712,0,13 ,0,699,0,0,0,0,0,0,0, ,0
193,St. Barth,712,0,1 ,0,462,0,249,0,"71,934",101,"19,114","1,931,097","9,898 ",North America
194,Faeroe Islands,661,0,1 ,0,657,0,3,0,"13,491",20,"236,243","4,821,876","48,994 ",Europe
